ENSGene	GRCh38	GRCh37
ENSG00000228818	AL359918.1	RP11-567G24.1
ENSG00000213839	TMX2P1	RP11-3J10.4
ENSG00000235629	AC090952.1	AC090952.5
ENSG00000180610	ZBTB12BP	ZBTB12P1
ENSG00000227680	AC108051.1	AC108051.2
ENSG00000266460	AC021506.1	RP11-173L6.1
ENSG00000263821	AP005121.2	RP11-527H14.1
ENSG00000257169	AC125612.1	RP11-117N2.2
ENSG00000261745	AL512347.1	RP11-506E9.3
ENSG00000254201	AC068880.3	RP11-618M23.2
ENSG00000236026	AC009237.7	AC009237.14
ENSG00000271003	AC009237.13	RP11-440D17.1
ENSG00000254762	AP001107.7	RP11-867G23.2
ENSG00000230847	AC044797.1	RP11-195E2.1
ENSG00000269681	AC063977.7	CTD-3187F8.6
ENSG00000260121	AC138028.4	RP5-1142A6.9
ENSG00000255107	AC079089.2	RP11-159H10.1
ENSG00000272164	AC005972.3	RP11-180P8.5
ENSG00000265262	TRMT112P3	RP11-180P8.2
ENSG00000228289	AL355862.1	RP4-640E24.1
ENSG00000219240	AL353692.3	RP11-63K6.5
ENSG00000265702	AC005821.1	RP11-156L14.1
ENSG00000248475	AC016642.1	RP11-479O16.1
ENSG00000255147	AP003385.6	RP11-655M14.4
ENSG00000253997	AC090142.3	RP11-200A13.3
ENSG00000243171	AC041039.1	RP11-273P3.1
ENSG00000249863	AC021106.1	RP11-177C12.1
ENSG00000225177	AL590617.2	RP11-390P2.4
ENSG00000236065	AL020995.1	RP1-117O3.2
ENSG00000267693	AC011477.5	CTC-559E9.2
ENSG00000103888	CEMIP	KIAA1199
ENSG00000273063	AC007250.1	RP11-334G22.1
ENSG00000227432	AC053503.1	AC053503.11
ENSG00000251323	AP003086.1	RP11-452H21.4
ENSG00000232259	AL158166.2	RP11-4C20.3
ENSG00000131944	FAAP24	C19orf40
ENSG00000253744	AC025442.1	AC025442.3
ENSG00000248802	AC078850.2	RP11-184M15.2
ENSG00000267277	AC024575.1	CTD-2342J14.6
ENSG00000273055	AC005046.1	CTB-13F3.1
ENSG00000245928	AC112719.2	RP11-630D6.5
ENSG00000236889	AC244035.3	RP11-38J22.1
ENSG00000253474	AC022568.1	RP11-10H3.1
